method,seed,front_index,is_selected,raw_f1_iv,raw_f2_deg,raw_f3_cta,constraint_aware_f1_iv,constraint_aware_f2_deg,constraint_aware_f3_cta,norm_f1_iv,norm_f2_deg,norm_f3_cta,normalized_average
Knowledge-constrained NSGA-II,42,54,False,0.05721161141991615,0.009894320741295815,0.3318209946155548,0.05721161141991615,0.009894320741295815,0.3318209946155548,0.06382534966406715,0.09447455164198744,0.16971292423166778,0.10933760851257412
Knowledge-constrained NSGA-II,42,55,False,0.12592218816280365,0.006507514975965023,0.4534996449947357,0.12592218816280365,0.006507514975965023,0.4534996449947357,0.14047896031045196,0.06213610572495928,0.23194659813267865,0.14485388805602997
Knowledge-constrained NSGA-II,42,56,True,0.0657762736082077,0.009932463988661766,0.27479076385498047,0.0657762736082077,0.009932463988661766,0.27479076385498047,0.07338009817324878,0.09483875715819104,0.14054428394355814,0.10292104642499933
Knowledge-constrained NSGA-II,42,57,False,0.07038998603820801,0.008285441435873508,0.35340505838394165,0.07038998603820801,0.008285441435873508,0.35340505838394165,0.07852716188611797,0.07911239035774166,0.18075229376637655,0.11279728200341206
Knowledge-constrained NSGA-II,42,58,False,0.14658409357070923,0.006332780234515667,0.3296181559562683,0.14658409357070923,0.006332780234515667,0.3296181559562683,0.1635294094178228,0.06046767523980153,0.1685862619753774,0.1308611155443339
Knowledge-constrained NSGA-II,42,59,False,0.07922419160604477,0.007954800501465797,0.3651859164237976,0.07922419160604477,0.007954800501465797,0.3651859164237976,0.08838261334741254,0.07595531117571332,0.18677772283911667,0.11703854912074751
Knowledge-constrained NSGA-II,42,60,False,0.07460516691207886,0.009275672025978565,0.28546127676963806,0.07460516691207886,0.009275672025978565,0.28546127676963806,0.08322962326580986,0.08856747004117063,0.14600181670725937,0.10593297000474662
Knowledge-constrained NSGA-II,42,61,False,0.06775198131799698,0.009080925025045872,0.3036244511604309,0.06775198131799698,0.009080925025045872,0.3036244511604309,0.07558420031758022,0.08670795526721067,0.15529154065243223,0.10586123207907437
Knowledge-constrained NSGA-II,42,62,False,0.14524026215076447,0.005867516156286001,0.3954565227031708,0.14524026215076447,0.005867516156286001,0.3954565227031708,0.1620302293014299,0.05602516560875499,0.20225990507984548,0.14010509999667678
Knowledge-constrained NSGA-II,42,63,False,0.07333584874868393,0.00904664397239685,0.3012685775756836,0.07333584874868393,0.00904664397239685,0.3012685775756836,0.08181357023736063,0.08638062738250664,0.15408660726462522,0.10742693496149751
Knowledge-constrained NSGA-II,42,64,False,0.10417824983596802,0.01125678326934576,0.24733415246009827,0.10417824983596802,0.01125678326934576,0.24733415246009827,0.1162213938420291,0.10748383644607695,0.12650134547694084,0.11673552525501563
Knowledge-constrained NSGA-II,42,65,False,0.07180172204971313,0.008258367888629436,0.3584353029727936,0.07180172204971313,0.008258367888629436,0.3584353029727936,0.08010209645501745,0.07885388234045387,0.18332505900012458,0.11409367926519864
Knowledge-constrained NSGA-II,42,66,False,0.05822142958641052,0.010003985837101936,0.31593021750450134,0.05822142958641052,0.010003985837101936,0.31593021750450134,0.06495190415141715,0.0955216736251891,0.16158543894414065,0.1073530055735823
Knowledge-constrained NSGA-II,42,67,False,0.1366056203842163,0.006247205659747124,0.3646797239780426,0.1366056203842163,0.006247205659747124,0.3646797239780426,0.15239741148182825,0.05965057826118135,0.18651882601948477,0.1328556052541648
Knowledge-constrained NSGA-II,42,68,False,0.06955015659332275,0.011177269741892815,0.27288705110549927,0.06955015659332275,0.011177269741892815,0.27288705110549927,0.07759024704230147,0.10672461253854411,0.13957061240723512,0.1079618239960269
Knowledge-constrained NSGA-II,42,69,False,0.056800466030836105,0.0086018992587924,0.406210720539093,0.056800466030836105,0.0086018992587924,0.406210720539093,0.06336667532210188,0.08213404406349632,0.20776023927242668,0.1177536528860083
Knowledge-constrained NSGA-II,42,70,False,0.12980826199054718,0.006598837208002806,0.3943327069282532,0.12980826199054718,0.006598837208002806,0.3943327069282532,0.1448142694325049,0.06300808341320079,0.2016851190821122,0.13650249064260597
Knowledge-constrained NSGA-II,42,71,False,0.12095799297094345,0.007220105733722448,0.42410022020339966,0.12095799297094345,0.007220105733722448,0.42410022020339966,0.13494089756309047,0.06894017991090891,0.21690998974131576,0.1402636890717717
Knowledge-constrained NSGA-II,42,72,False,0.056175049394369125,0.008965756744146347,0.34726274013519287,0.056175049394369125,0.008965756744146347,0.34726274013519287,0.06266895969204826,0.08560828688310934,0.1776107481484917,0.10862933157454978
Knowledge-constrained NSGA-II,42,73,False,0.10948823392391205,0.009183438494801521,0.298415869474411,0.10948823392391205,0.009183438494801521,0.298415869474411,0.12214521914099072,0.08768679093927532,0.15262756325685453,0.12081985777904018
Knowledge-constrained NSGA-II,42,74,False,0.13704358041286469,0.006571780424565077,0.3636951744556427,0.13704358041286469,0.006571780424565077,0.3636951744556427,0.15288600027129967,0.06274973546279676,0.18601526903783278,0.13388366825730974
Knowledge-constrained NSGA-II,42,75,False,0.13033179938793182,0.011206538416445255,0.2303168922662735,0.13033179938793182,0.011206538416445255,0.2303168922662735,0.1453983284481658,0.10700408042500105,0.11779770997234829,0.12340003961517171
Knowledge-constrained NSGA-II,42,76,False,0.07511933147907257,0.007845287211239338,0.40291550755500793,0.07511933147907257,0.007845287211239338,0.40291550755500793,0.08380322593944166,0.07490963868707023,0.20607487203958122,0.12159591222203103
Knowledge-constrained NSGA-II,42,77,False,0.05857548117637634,0.008504653349518776,0.38336366415023804,0.05857548117637634,0.008504653349518776,0.38336366415023804,0.06534688457528301,0.08120550496335394,0.1960749004519257,0.11420909666352087
